doi	received	accepted	published
10.1371/journal.pntd.0001052	2010-06-02	2011-04-26	2011-05-24
10.1371/journal.ppat.1000264	2008-10-06	2008-12-14	2009-01-16
10.1371/journal.pntd.0002486	2013-07-23	2013-09-06	2013-10-10
10.1371/journal.pgen.1003924	2013-06-05	2013-09-05	2013-11-07
10.1371/journal.pcbi.1002903	2011-07-05	2012-12-06	2013-03-28
10.1371/journal.pntd.0001630	2011-10-05	2012-03-09	2012-04-24
10.1371/journal.ppat.1004158	2014-02-25	2014-04-15	2014-06-12
10.1371/journal.pgen.1000831	2009-07-21	2009-12-28	2010-01-29
10.1371/journal.pntd.0000243	2007-11-26	2008-04-24	2008-05-28
10.1371/journal.ppat.1002809	2011-06-27	2012-06-05	2012-08-09
10.1371/journal.pgen.1003099	2011-12-01	2012-10-01	2012-12-06
10.1371/journal.pmed.1001577	2013-05-29	2013-11-07	2013-12-31
10.1371/journal.pone.0086029	2013-10-18	2013-12-06	2014-01-21
10.1371/journal.ppat.1000188	2008-02-04	2008-09-24	2008-10-24
10.1371/journal.ppat.1004784	2014-11-03	2015-03-04	2015-04-01
10.1371/journal.pgen.1002649	2011-11-16	2012-02-23	2012-04-12
10.1371/journal.pone.0034979	2011-11-10	2012-03-08	2012-04-12
10.1371/journal.pgen.1000321	2008-06-25	2008-12-01	2009-01-02
10.1371/journal.pcbi.1000519	2009-05-28	2009-08-25	2009-09-25
10.1371/journal.pmed.1001809	2014-08-27	2015-02-20	2015-03-31
10.1371/journal.pmed.0040320	2007-01-12	2007-09-20	2007-11-13
10.1371/journal.pgen.1004224	2013-09-12	2014-01-22	2014-03-20
10.1371/journal.pcbi.1004048	2014-06-13	2014-11-19	2015-02-10
10.1371/journal.pntd.0003612	2014-10-06	2015-02-10	2015-03-06
10.1371/journal.pntd.0003687	2014-10-16	2015-03-08	2015-03-31
10.1371/journal.pgen.1000082	2007-07-19	2008-04-28	2008-05-30
10.1371/journal.pntd.0001552	2011-10-26	2012-01-17	2012-02-28
10.1371/journal.pmed.0050238	2008-02-26	2008-10-27	2008-12-23
10.1371/journal.ppat.1004686	2014-05-26	2015-01-16	2015-03-06
10.1371/journal.pgen.1005220	2014-11-17	2015-04-14	2015-05-06
10.1371/journal.pmed.0030053	2005-05-12	2005-11-15	2006-01-17
10.1371/journal.pntd.0002219	2013-12-31	2013-04-05	2013-05-16
10.1371/journal.ppat.1002185	2011-03-09	2011-06-14	2011-08-18
10.1371/journal.ppat.1000667	2009-06-09	2009-10-27	2009-11-20
10.1371/journal.pgen.1000795	2009-06-25	2009-11-30	2010-01-08
10.1371/journal.pone.0119793	2014-08-14	2015-01-23	2015-03-24
10.1371/journal.pone.0000973	2007-03-19	2007-09-05	2007-10-03
10.1371/journal.pgen.1004865	2014-06-26	2014-10-30	2014-12-11
10.1371/journal.pntd.0000954	2010-07-26	2011-01-06	2011-02-15
10.1371/journal.pmed.0040232	2006-10-16	2007-05-25	2007-07-10
10.1371/journal.pgen.1002401	2011-07-22	2011-10-13	2011-12-08
10.1371/journal.pone.0086292	2013-08-11	2013-12-11	2014-04-09
10.1371/journal.pgen.1003657	2012-12-04	2013-05-30	2013-08-08
10.1371/journal.pgen.1004138	2013-08-05	2013-12-11	2014-02-06
10.1371/journal.pcbi.1003100	2012-11-26	2013-04-30	2013-06-20
10.1371/journal.pone.0111623	2014-06-11	2014-10-02	2014-11-06
10.1371/journal.pone.0055044	2012-09-23	2012-12-18	2013-01-30
10.1371/journal.pone.0042426	2011-08-26	2012-07-09	2012-08-03
10.1371/journal.pntd.0003207	2014-05-30	2014-08-22	2014-10-02
10.1371/journal.ppat.1004817	2015-01-27	2015-03-18	2015-04-13
10.1371/journal.pntd.0002272	2012-08-30	2013-04-29	2013-06-13
10.1371/journal.pcbi.1000785	2009-06-11	2010-04-13	2010-05-13
10.1371/journal.pntd.0002508	2013-06-07	2013-09-17	2013-10-31
10.1371/journal.ppat.1004548	2014-06-30	2014-11-01	2014-12-04
10.1371/journal.pcbi.1002038	2010-10-07	2011-03-10	2011-06-02
10.1371/journal.pmed.0030486	2006-04-26	2006-09-26	2006-12-26
10.1371/journal.pcbi.1002619	2012-03-22	2012-06-06	2012-08-16
10.1371/journal.pgen.1003359	2012-10-11	2013-01-18	2013-03-28
10.1371/journal.pgen.1002335	2011-05-17	2011-08-25	2011-10-13
10.1371/journal.pntd.0003724	2014-12-11	2015-03-26	2015-04-21
10.1371/journal.pgen.1005185	2014-08-26	2015-03-30	2015-04-15
10.1371/journal.pntd.0000873	2010-06-29	2010-10-06	2010-11-02
10.1371/journal.pntd.0000146	2007-06-22	2007-11-13	2008-01-30
10.1371/journal.pone.0094334	2014-01-22	2014-03-12	2014-06-04
10.1371/journal.pntd.0000368	2008-09-23	2008-12-22	2009-02-10
10.1371/journal.pgen.1002290	2011-02-24	2011-07-22	2011-09-15
10.1371/journal.pgen.1000927	2009-09-14	2010-03-29	2010-04-29
10.1371/journal.pcbi.1003275	2012-06-23	2013-08-28	2013-10-24
10.1371/journal.ppat.1003326	2012-11-28	2013-03-08	2013-04-18
10.1371/journal.pntd.0000218	2007-11-29	2008-02-28	2008-04-09
10.1371/journal.pmed.1000057	2008-08-25	2009-02-20	2009-04-21
10.1371/journal.pgen.1004289	2013-11-25	2014-02-18	2014-04-10
10.1371/journal.pone.0113846	2014-09-02	2014-11-02	2014-12-01
10.1371/journal.pgen.1003231	2012-07-02	2012-11-26	2013-01-24
10.1371/journal.pntd.0002797	2013-08-30	2014-03-05	2014-04-17
10.1371/journal.pmed.1000424	2010-05-18	2011-01-25	2011-03-08
10.1371/journal.pmed.0030002	2005-03-07	2005-09-22	2005-12-06
10.1371/journal.pone.0029686	2011-08-22	2011-12-01	2012-01-03
10.1371/journal.ppat.1003736	2013-05-30	2013-09-13	2013-11-14
10.1371/journal.pcbi.1000669	2009-09-30	2010-01-04	2010-02-05
10.1371/journal.pmed.1000250	2009-01-29	2010-02-17	2010-03-30
10.1371/journal.pcbi.1002683	2012-03-01	2012-07-21	2012-09-20
10.1371/journal.pmed.0050008	2007-03-22	2007-11-15	2008-01-22
10.1371/journal.pcbi.1004189	2014-06-26	2015-02-10	2015-05-15
10.1371/journal.pgen.1000715	2009-07-14	2009-10-12	2009-11-20
10.1371/journal.pgen.1004048	2013-05-01	2013-11-04	2014-01-09
10.1371/journal.ppat.1000562	2009-03-31	2009-07-31	2009-08-28
10.1371/journal.pone.0118699	2014-09-26	2015-01-22	2015-03-11
10.1371/journal.pone.0062953	2013-01-27	2013-03-26	2013-05-07
10.1371/journal.pmed.0050054	2007-05-14	2008-01-17	2008-03-04
10.1371/journal.pgen.1002891	2012-01-27	2012-06-11	2012-08-30
10.1371/journal.ppat.1002859	2012-03-14	2012-06-28	2012-08-02
10.1371/journal.pcbi.0020024	2005-10-26	2006-02-13	2006-03-31
10.1371/journal.pmed.0030254	2005-06-08	2006-04-05	2006-07-18
10.1371/journal.pgen.1004264	2013-10-23	2014-02-09	2014-04-03
10.1371/journal.pgen.1004028	2013-06-26	2013-10-31	2013-12-26
10.1371/journal.ppat.1000870	2009-08-20	2010-03-23	2010-04-29
10.1371/journal.pntd.0000521	2009-03-25	2009-08-26	2009-09-22
10.1371/journal.pone.0029618	2011-06-20	2011-12-01	2012-01-03
10.1371/journal.pmed.1000153	2008-11-21	2009-08-17	2009-09-22
10.1371/journal.pntd.0002559	2013-06-11	2013-10-11	2013-11-14
10.1371/journal.ppat.1003844	2013-06-07	2013-11-06	2014-01-02
10.1371/journal.pbio.1000420	2009-12-07	2010-06-03	2010-07-13
10.1371/journal.ppat.1004319	2013-10-11	2014-07-09	2014-09-04
10.1371/journal.pgen.1002007	2010-09-30	2010-12-30	2011-02-10
10.1371/journal.pone.0058294	2012-10-18	2013-02-01	2013-03-19
10.1371/journal.pgen.0010029	2005-01-10	2005-07-14	2005-08-26
10.1371/journal.pntd.0002945	2013-10-08	2014-05-02	2014-06-12
10.1371/journal.pntd.0000748	2009-09-23	2010-06-01	2010-07-13
10.1371/journal.pgen.1002887	2011-12-26	2012-06-24	2012-09-06
10.1371/journal.pgen.1004409	2013-08-05	2014-04-16	2014-06-26
10.1371/journal.pmed.0020128	2004-11-23	2005-03-18	2005-05-31
10.1371/journal.pntd.0001019	2010-10-21	2011-02-16	2011-04-12
10.1371/journal.pcbi.1000899	2010-04-23	2010-07-21	2010-08-19
10.1371/journal.ppat.0030178	2007-06-08	2007-10-05	2007-11-16
10.1371/journal.pntd.0003199	2014-03-28	2014-08-18	2014-09-18
10.1371/journal.pntd.0001787	2011-07-20	2012-07-06	2012-09-06
10.1371/journal.ppat.1001292	2010-07-27	2011-01-12	2011-02-17
10.1371/journal.pone.0080654	2013-04-29	2013-10-06	2013-11-20
10.1371/journal.pcbi.0030028	2006-08-03	2006-12-28	2007-03-02
10.1371/journal.ppat.1002097	2011-02-14	2011-04-15	2011-06-23
10.1371/journal.pgen.1000969	2009-10-01	2010-04-23	2010-05-27
10.1371/journal.pntd.0001620	2011-11-01	2012-02-21	2012-04-17
10.1371/journal.ppat.0030165	2007-06-25	2007-09-21	2007-11-09
10.1371/journal.pntd.0000842	2009-06-16	2010-09-08	2010-10-05
10.1371/journal.ppat.1003149	2012-06-02	2012-11-29	2013-02-14
10.1371/journal.pone.0089746	2013-08-22	2014-01-23	2014-03-13
10.1371/journal.pgen.1003776	2013-01-15	2013-07-23	2013-09-19
10.1371/journal.pcbi.1000894	2010-01-26	2010-07-16	2010-08-19
10.1371/journal.pgen.1003235	2012-07-30	2012-11-26	2013-01-24
10.1371/journal.pgen.1001274	2010-06-17	2010-12-13	2011-01-13
10.1371/journal.pone.0068165	2013-04-14	2013-05-31	2013-07-02
10.1371/journal.ppat.0020124	2006-08-02	2006-10-10	2006-11-17
10.1371/journal.pgen.1002846	2012-03-07	2012-06-05	2012-07-26
10.1371/journal.pgen.1002612	2011-07-07	2012-02-07	2012-03-29
10.1371/journal.pgen.1002698	2011-12-30	2012-03-20	2012-05-24
10.1371/journal.pone.0048258	2012-08-13	2012-09-21	2012-10-29
10.1371/journal.pntd.0003570	2014-07-02	2015-01-27	2015-03-04
10.1371/journal.ppat.1001272	2010-08-19	2011-01-06	2011-02-10
10.1371/journal.pntd.0000245	2007-02-06	2008-05-08	2008-06-04
10.1371/journal.pmed.0030338	2006-01-05	2006-06-12	2006-09-05
10.1371/journal.pmed.1001437	2012-10-18	2013-03-22	2013-04-30
10.1371/journal.pntd.0003581	2014-11-19	2015-02-01	2015-03-17
10.1371/journal.pntd.0000496	2009-03-17	2009-07-02	2009-08-04
10.1371/journal.pgen.0030043	2006-06-20	2007-02-07	2007-03-30
10.1371/journal.pgen.1004427	2014-01-06	2014-04-23	2014-07-03
10.1371/journal.ppat.1001203	2010-03-16	2010-10-21	2010-11-18
10.1371/journal.pbio.1000187	2009-02-12	2009-07-30	2009-09-08
10.1371/journal.pone.0043740	2012-06-01	2012-07-23	2012-08-17
10.1371/journal.pbio.1002038	2014-05-11	2014-12-03	2015-01-20
10.1371/journal.ppat.1000086	2008-02-21	2008-05-09	2008-06-13
10.1371/journal.pcbi.1003487	2013-08-19	2014-01-10	2014-02-20
10.1371/journal.pone.0001466	2007-10-23	2007-12-19	2008-01-23
10.1371/journal.pntd.0002038	2012-09-06	2012-12-14	2013-01-31
10.1371/journal.pone.0103212	2013-11-07	2014-06-30	2014-07-29
10.1371/journal.pntd.0002719	2013-10-18	2014-01-13	2014-02-20
10.1371/journal.ppat.1002787	2012-04-06	2012-05-19	2012-07-05
10.1371/journal.pgen.1002314	2011-05-06	2011-08-01	2011-10-06
10.1371/journal.pntd.0002236	2012-11-12	2013-04-15	2013-05-23
10.1371/journal.ppat.1000841	2009-11-06	2010-03-03	2010-04-15
10.1371/journal.pcbi.1004105	2014-08-29	2014-12-29	2015-03-13
10.1371/journal.pone.0023801	2011-06-22	2011-07-25	2011-08-24
10.1371/journal.pmed.0020407	2005-03-22	2005-10-07	2005-11-08
10.1371/journal.pcbi.1002768	2012-04-17	2012-09-21	2012-11-15
10.1371/journal.pcbi.1002627	2011-12-01	2012-06-09	2012-08-16
10.1371/journal.pbio.1001692	2013-02-17	2013-09-05	2013-10-29
10.1371/journal.ppat.1002059	2010-12-07	2011-03-23	2011-05-26
10.1371/journal.pgen.1000843	2009-07-27	2010-01-12	2010-02-12
10.1371/journal.pntd.0000488	2009-04-17	2009-06-17	2009-07-07
10.1371/journal.pmed.1000210	2009-06-22	2009-11-20	2010-01-05
10.1371/journal.ppat.1002211	2010-10-22	2011-07-05	2011-08-25
10.1371/journal.pntd.0001025	2010-11-25	2011-02-14	2011-04-19
10.1371/journal.pcbi.1000386	2009-01-08	2009-04-09	2009-05-22
10.1371/journal.pbio.1000221	2008-11-14	2009-09-11	2009-10-20
10.1371/journal.pone.0128802	2015-03-08	2015-04-30	2015-06-18
10.1371/journal.pmed.0010062	2004-08-26	2004-10-21	2004-12-07
10.1371/journal.pcbi.0030033	2006-06-30	2007-01-04	2007-03-02
10.1371/journal.pntd.0003500	2014-09-09	2014-12-28	2015-02-25
10.1371/journal.pmed.1001393	2012-06-20	2013-01-09	2013-02-19
10.1371/journal.pgen.0030021	2006-05-12	2006-12-18	2007-02-16
10.1371/journal.ppat.1004279	2014-02-24	2014-06-12	2014-08-07
10.1371/journal.pone.0049715	2012-05-21	2012-10-12	2012-11-16
10.1371/journal.pcbi.1000684	2009-01-27	2010-01-25	2010-02-26
10.1371/journal.pntd.0000693	2009-10-19	2010-03-31	2010-05-25
10.1371/journal.ppat.1001234	2010-06-09	2010-11-18	2010-12-23
10.1371/journal.pntd.0002254	2012-08-31	2013-04-26	2013-06-20
10.1371/journal.pntd.0000136	2007-08-29	2007-10-29	2008-01-23
10.1371/journal.pntd.0003491	2014-08-05	2014-12-19	2015-02-10
10.1371/journal.pntd.0003084	2014-02-05	2014-06-28	2014-08-07
10.1371/journal.pone.0055963	2012-08-23	2013-01-04	2013-02-05
10.1371/journal.pmed.0040278	2007-06-22	2007-08-13	2007-09-18
10.1371/journal.pntd.0002128	2012-04-11	2013-02-08	2013-03-14
10.1371/journal.pcbi.1003032	2011-12-12	2013-02-28	2013-04-11
10.1371/journal.pone.0049043	2012-07-13	2012-10-05	2012-11-07
10.1371/journal.pbio.1001633	2013-02-22	2013-07-05	2013-08-20
10.1371/journal.pbio.1000350	2009-09-07	2010-03-01	2010-04-06
10.1371/journal.pone.0012899	2010-03-20	2010-08-24	2010-09-22
10.1371/journal.pone.0044549	2012-03-07	2012-08-06	2012-09-12
10.1371/journal.pgen.1002356	2010-06-20	2011-09-10	2011-11-03
10.1371/journal.pone.0000009	2006-08-12	2006-08-13	2006-12-20
10.1371/journal.pone.0097090	2013-12-16	2014-04-15	2014-06-03
10.1371/journal.pone.0022298	2011-02-28	2011-06-23	2011-07-22
10.1371/journal.pntd.0000636	2009-10-30	2010-01-29	2010-03-16
10.1371/journal.pgen.1004176	2013-08-07	2013-12-30	2014-03-06
10.1371/journal.ppat.1004222	2013-03-16	2014-05-16	2014-07-03
10.1371/journal.ppat.0030036	2006-10-23	2007-01-26	2007-03-23
10.1371/journal.pbio.1001536	2012-09-22	2013-03-06	2013-04-16
10.1371/journal.pntd.0001980	2012-05-31	2012-11-05	2012-12-13
10.1371/journal.pmed.0040132	2006-10-12	2007-02-14	2007-04-24
10.1371/journal.pntd.0002781	2013-11-25	2014-02-23	2014-04-24
10.1371/journal.pmed.0020330	2005-04-12	2005-08-11	2005-10-04
10.1371/journal.pbio.1001539	2012-08-06	2013-03-06	2013-04-16
10.1371/journal.pntd.0000200	2007-09-27	2008-01-23	2008-03-19
10.1371/journal.pgen.1000988	2009-06-26	2010-05-14	2010-06-17
10.1371/journal.pbio.1001213	2011-05-04	2011-10-25	2011-12-06
10.1371/journal.pntd.0000469	2009-03-04	2009-05-27	2009-06-30
10.1371/journal.pgen.1004334	2013-10-11	2014-03-06	2014-05-29
10.1371/journal.ppat.1000936	2010-02-15	2010-05-03	2010-06-03
10.1371/journal.pcbi.1002896	2012-07-25	2012-12-08	2013-01-31
10.1371/journal.pgen.0030148	2007-05-23	2007-07-13	2007-08-31
10.1371/journal.pbio.1000541	2010-08-30	2010-10-01	2010-11-23
10.1371/journal.pone.0006004	2009-02-17	2009-05-27	2009-06-23
10.1371/journal.pcbi.1004249	2014-08-13	2015-03-19	2015-04-20
10.1371/journal.pgen.1002478	2011-06-23	2011-11-30	2012-01-19
10.1371/journal.pmed.1001007	2010-10-01	2010-11-29	2011-02-08
10.1371/journal.pmed.1001372	2012-06-18	2012-12-04	2013-01-29
10.1371/journal.pone.0078370	2013-08-14	2013-09-19	2013-10-29
10.1371/journal.pmed.1000024	2008-05-07	2008-12-19	2009-02-03
10.1371/journal.pntd.0000757	2010-03-11	2010-06-04	2010-07-20
10.1371/journal.pcbi.1003544	2013-03-06	2014-02-03	2014-04-03
10.1371/journal.pbio.1000484	2010-03-03	2010-08-04	2010-09-21
10.1371/journal.ppat.1002899	2012-05-22	2012-07-24	2012-08-30
10.1371/journal.pgen.1000143	2008-04-28	2008-06-25	2008-08-01
10.1371/journal.pone.0087242	2013-10-30	2013-12-19	2014-01-29
10.1371/journal.pgen.1000165	2008-05-14	2008-07-15	2008-08-22
10.1371/journal.pone.0078874	2013-04-15	2013-09-16	2013-11-07
10.1371/journal.pntd.0003296	2014-07-10	2014-09-24	2014-12-04
10.1371/journal.pcbi.1003964	2014-05-07	2014-10-06	2014-12-18
10.1371/journal.pone.0123316	2014-08-06	2015-03-02	2015-04-17
10.1371/journal.ppat.0030177	2007-08-03	2007-10-03	2007-11-16
10.1371/journal.pbio.1002153	2014-09-16	2015-04-15	2015-05-21
10.1371/journal.pone.0121693	2014-11-01	2015-02-14	2015-03-25
10.1371/journal.ppat.1002565	2011-08-06	2012-01-19	2012-03-08
10.1371/journal.pgen.1000606	2009-05-11	2009-07-16	2009-08-14
10.1371/journal.pcbi.1002358	2011-08-06	2011-12-07	2012-06-13
10.1371/journal.pcbi.1004227	2014-12-02	2015-03-06	2015-04-24
10.1371/journal.pgen.1004555	2014-04-16	2014-06-20	2014-08-07
10.1371/journal.ppat.1003000	2012-06-27	2012-09-13	2012-11-15
10.1371/journal.pgen.1000324	2008-09-29	2008-12-02	2009-01-02
10.1371/journal.pgen.1004416	2014-01-14	2014-04-16	2014-06-12
10.1371/journal.ppat.1002316	2011-06-10	2011-09-01	2011-10-27
10.1371/journal.ppat.1004100	2013-09-10	2014-03-17	2014-04-24
10.1371/journal.pbio.1001438	2012-06-19	2012-10-22	2012-12-04
10.1371/journal.ppat.1004023	2013-10-17	2014-02-05	2014-03-20
10.1371/journal.pgen.1004710	2014-03-28	2014-08-26	2014-10-23
10.1371/journal.pcbi.1002050	2010-11-24	2011-03-28	2011-05-26
10.1371/journal.pntd.0003669	2014-07-26	2015-03-03	2015-03-27
10.1371/journal.ppat.1004198	2013-11-24	2014-05-06	2014-06-26
10.1371/journal.pbio.1001808	2013-10-07	2014-01-30	2014-03-11
10.1371/journal.pone.0010239	2010-02-17	2010-03-29	2010-04-22
10.1371/journal.pntd.0003221	2014-02-21	2014-08-26	2014-10-09
10.1371/journal.pgen.1005264	2014-12-15	2015-05-05	2015-05-22
10.1371/journal.pone.0000760	2007-05-12	2007-07-13	2007-08-22
10.1371/journal.pgen.1005020	2014-10-29	2015-01-22	2015-02-25
10.1371/journal.pgen.1000780	2009-09-15	2009-11-19	2009-12-18
10.1371/journal.pntd.0000671	2009-12-03	2010-03-18	2010-05-04
10.1371/journal.pcbi.1000285	2008-05-28	2009-01-02	2009-02-13
10.1371/journal.pbio.1001531	2012-06-27	2013-02-26	2013-04-09
10.1371/journal.pntd.0003092	2013-12-05	2014-07-02	2014-09-04
10.1371/journal.pmed.1000061	2008-09-08	2009-03-03	2009-05-12
10.1371/journal.pcbi.1003099	2012-12-12	2013-04-30	2013-06-27
10.1371/journal.pcbi.1002295	2011-07-21	2011-10-20	2011-12-08
10.1371/journal.pntd.0003191	2014-05-19	2014-08-14	2014-09-25
10.1371/journal.ppat.1004269	2013-03-11	2014-06-10	2014-07-31
10.1371/journal.pone.0125894	2014-10-31	2015-03-23	2015-04-27
10.1371/journal.pntd.0002677	2013-06-17	2013-12-19	2014-02-27
10.1371/journal.pcbi.1004167	2014-03-21	2015-02-02	2015-03-30
10.1371/journal.pmed.1001709	2014-01-30	2014-07-17	2014-08-26
10.1371/journal.pntd.0002181	2012-11-09	2013-03-15	2013-04-18
10.1371/journal.ppat.1000319	2008-10-24	2009-01-30	2009-02-27
10.1371/journal.pmed.0050012	2007-07-18	2007-10-26	2008-01-08
10.1371/journal.pcbi.1000960	2010-05-04	2010-09-17	2010-10-21
10.1371/journal.pntd.0001522	2011-07-14	2011-12-23	2012-02-07
10.1371/journal.pbio.1001901	2014-01-09	2014-05-29	2014-07-08
10.1371/journal.pcbi.1003948	2014-04-30	2014-09-29	2014-12-04
10.1371/journal.pgen.1004034	2013-06-28	2013-10-29	2013-12-26
10.1371/journal.pntd.0002562	2013-05-14	2013-10-14	2013-12-05
10.1371/journal.pmed.0040059	2006-09-29	2006-12-20	2007-02-13
10.1371/journal.pcbi.1002500	2011-05-26	2012-03-16	2012-05-17
10.1371/journal.pntd.0001829	2012-03-01	2012-08-09	2012-09-27
10.1371/journal.pcbi.1003798	2013-11-01	2014-07-08	2014-08-28
10.1371/journal.ppat.1000308	2008-10-09	2009-01-22	2009-02-20
10.1371/journal.pntd.0002050	2012-07-18	2012-12-19	2013-02-07
10.1371/journal.pone.0110880	2014-06-23	2014-09-18	2014-10-24
10.1371/journal.pntd.0003096	2014-03-12	2014-07-03	2014-08-28
10.1371/journal.ppat.1003435	2012-09-25	2013-05-06	2013-06-13
10.1371/journal.pgen.1004283	2013-08-15	2014-02-18	2014-04-17
10.1371/journal.pgen.1003364	2012-05-26	2013-01-19	2013-04-11
10.1371/journal.pgen.1004548	2014-02-28	2014-06-18	2014-08-14
10.1371/journal.pcbi.1003578	2013-08-27	2014-03-04	2014-05-29
10.1371/journal.pone.0024322	2011-06-10	2011-08-06	2011-09-02
10.1371/journal.pcbi.1004223	2014-07-25	2015-03-03	2015-04-24
10.1371/journal.ppat.1002867	2012-03-19	2012-07-05	2012-08-09
10.1371/journal.pgen.1003778	2013-04-03	2013-07-23	2013-09-12
10.1371/journal.pntd.0001448	2011-03-03	2011-11-06	2011-12-20
10.1371/journal.pone.0064621	2012-11-28	2013-04-17	2013-05-29
10.1371/journal.pgen.1003157	2012-06-25	2012-10-25	2012-12-20
10.1371/journal.pntd.0003325	2014-07-14	2014-10-07	2014-11-20
10.1371/journal.ppat.1004415	2013-11-24	2014-08-21	2014-10-02
10.1371/journal.pcbi.1000027	2007-10-09	2008-01-07	2008-02-29
10.1371/journal.pone.0082713	2013-06-25	2013-10-28	2013-12-06
10.1371/journal.pbio.1000204	2009-02-16	2009-08-19	2009-09-29
10.1371/journal.ppat.1002327	2011-07-28	2011-09-05	2011-10-27
10.1371/journal.pmed.0030201	2006-01-10	2006-02-23	2006-05-23
10.1371/journal.pgen.1000737	2009-07-15	2009-10-21	2009-11-20
10.1371/journal.pntd.0003226	2013-12-09	2014-08-27	2014-10-09
10.1371/journal.pgen.1002889	2012-02-13	2012-06-25	2012-08-16
10.1371/journal.ppat.1002525	2011-10-25	2011-12-21	2012-02-16
10.1371/journal.pmed.1001433	2012-09-11	2013-03-15	2013-04-23
10.1371/journal.pcbi.0030030	2006-09-12	2007-01-02	2007-03-02
10.1371/journal.pntd.0001981	2012-07-01	2012-11-05	2013-01-03
10.1371/journal.pmed.1000116	2008-09-29	2009-06-17	2009-07-28
10.1371/journal.pgen.1003211	2012-08-28	2012-11-15	2013-01-17
10.1371/journal.pone.0048800	2012-06-13	2012-10-01	2012-11-07
10.1371/journal.pgen.0020035	2005-08-11	2006-01-27	2006-03-17
10.1371/journal.ppat.1004929	2015-01-05	2015-05-01	2015-05-28
10.1371/journal.pgen.0030045	2006-10-12	2007-02-13	2007-03-30
10.1371/journal.pbio.1000608	2010-07-15	2011-02-25	2011-04-05
10.1371/journal.pbio.1000324	2009-09-08	2010-01-28	2010-03-02
10.1371/journal.pmed.1000296	2010-01-08	2010-05-13	2010-06-22
10.1371/journal.pmed.1000277	2009-11-04	2010-04-08	2010-05-18
10.1371/journal.ppat.1003224	2012-09-20	2013-01-17	2013-03-21
10.1371/journal.pone.0044294	2012-04-18	2012-08-01	2012-10-02
10.1371/journal.pgen.1004365	2013-11-20	2014-03-25	2014-06-05
10.1371/journal.pcbi.0020080	2006-01-20	2006-05-18	2006-06-30
10.1371/journal.pmed.0030334	2006-01-19	2006-06-07	2006-08-22
10.1371/journal.pone.0010139	2009-10-10	2010-03-16	2010-04-12
10.1371/journal.ppat.1002898	2012-04-03	2012-07-24	2012-08-30
10.1371/journal.pbio.1001361	2011-07-25	2012-06-06	2012-07-17
10.1371/journal.ppat.1003684	2012-06-21	2013-08-20	2013-10-10
10.1371/journal.pmed.0030420	2006-04-27	2006-08-04	2006-10-03
10.1371/journal.ppat.1000015	2007-10-02	2008-01-30	2008-03-07
10.1371/journal.ppat.0040019	2007-07-09	2007-12-17	2008-02-01
10.1371/journal.ppat.1000253	2008-03-04	2008-12-03	2009-01-02
10.1371/journal.pgen.1004003	2012-01-23	2013-10-21	2013-12-19
10.1371/journal.ppat.1003091	2012-07-10	2012-11-05	2012-12-27
10.1371/journal.ppat.1004535	2014-09-05	2014-10-21	2014-12-04
10.1371/journal.pcbi.0010031	2005-05-16	2005-07-18	2005-08-19
10.1371/journal.pgen.1004046	2013-05-21	2013-10-30	2014-01-02
10.1371/journal.pgen.1004343	2013-12-16	2014-03-17	2014-06-19
10.1371/journal.pcbi.0030254	2007-05-10	2007-11-13	2007-12-28
10.1371/journal.pgen.1002634	2011-09-09	2012-02-21	2012-04-19
10.1371/journal.ppat.1004393	2013-12-03	2014-08-11	2014-09-18
10.1371/journal.pone.0108258	2014-06-17	2014-08-28	2014-10-06
10.1371/journal.pgen.1000196	2008-02-11	2008-08-08	2008-09-26
10.1371/journal.pmed.0040329	2007-06-25	2007-10-05	2007-12-18
10.1371/journal.pgen.1000649	2009-05-14	2009-08-14	2009-09-18
10.1371/journal.pone.0124748	2015-01-19	2015-03-05	2015-04-21
10.1371/journal.pcbi.1002234	2011-03-03	2011-09-01	2011-10-20
10.1371/journal.ppat.1000414	2008-12-29	2009-04-06	2009-05-08
10.1371/journal.pntd.0001946	2012-06-05	2012-09-30	2012-12-13
10.1371/journal.pcbi.0030026	2006-09-05	2006-12-27	2007-02-16
10.1371/journal.pbio.1002039	2014-08-28	2014-12-02	2015-01-15
10.1371/journal.pntd.0001939	2012-08-20	2012-10-22	2012-12-06
10.1371/journal.pone.0029235	2011-08-03	2011-11-22	2012-01-05
10.1371/journal.pone.0077775	2013-05-07	2013-09-04	2013-10-30
10.1371/journal.pcbi.1000834	2009-09-07	2010-05-25	2010-07-08
10.1371/journal.pcbi.1003913	2014-01-20	2014-09-15	2014-11-06
10.1371/journal.ppat.0030093	2006-12-01	2007-05-17	2007-07-06
10.1371/journal.pmed.1001194	2011-08-11	2012-02-09	2012-03-20
10.1371/journal.pone.0063025	2013-02-26	2013-03-27	2013-05-08
10.1371/journal.pcbi.1002907	2012-04-26	2012-12-17	2013-02-14
10.1371/journal.ppat.1002219	2011-05-09	2011-06-28	2011-09-01
10.1371/journal.pone.0057400	2012-10-25	2013-01-21	2013-02-22
10.1371/journal.pgen.0020209	2006-08-10	2006-10-25	2006-12-22
10.1371/journal.pgen.1002082	2010-12-05	2011-03-29	2011-05-19
10.1371/journal.pone.0043930	2012-05-03	2012-07-27	2012-08-28
10.1371/journal.pgen.1002574	2011-11-02	2012-01-16	2012-03-08
